university,year,score_line,avg_score_x,score_diff,is_985,is_211,admission_count
大连医科大学,2014,506,563,57,0,0,0.0
大连医科大学,2015,525,591,66,0,0,0.0
复旦大学,2011,573,680,107,1,1,0.0
复旦大学,2012,546,659,113,1,1,54.0
复旦大学,2013,501,649,148,1,1,0.0
复旦大学,2014,506,661,155,1,1,0.0
四川大学,2011,573,636,63,1,1,0.0
四川大学,2012,546,620,74,1,1,128.0
四川大学,2013,501,600,99,1,1,122.0
四川大学,2014,506,619,113,1,1,0.0
四川外国语大学,2013,501,554,53,0,0,4.0
四川外国语大学,2014,506,563,57,0,0,0.0
四川农业大学,2012,546,565,19,0,1,0.0
四川农业大学,2014,506,557,51,0,1,0.0
四川农业大学,2015,525,569,44,0,1,0.0
哈尔滨工程大学,2011,573,617,44,0,1,0.0
哈尔滨工程大学,2012,546,595,49,0,1,21.0
哈尔滨工程大学,2013,501,567,66,0,1,17.0
哈尔滨工程大学,2014,506,585,79,0,1,0.0
哈尔滨工业大学（威海）,2011,573,625,52,0,0,0.0
哈尔滨工业大学（威海）,2012,546,608,62,0,0,52.0
哈尔滨工业大学（威海）,2013,501,591,90,0,0,0.0
哈尔滨工业大学,2011,573,649,76,1,1,0.0
哈尔滨工业大学,2012,546,631,85,1,1,111.0
哈尔滨工业大学,2013,501,613,112,1,1,101.0
哈尔滨工业大学,2014,506,626,120,1,1,0.0
哈尔滨商业大学,2013,501,535,34,0,0,8.0
哈尔滨商业大学,2014,506,554,48,0,0,0.0
哈尔滨医科大学,2011,573,617,44,0,0,0.0
哈尔滨医科大学,2012,546,566,20,0,0,0.0
哈尔滨医科大学,2013,501,564,63,0,0,30.0
哈尔滨医科大学,2014,506,565,59,0,0,0.0
同济大学,2011,573,664,91,1,1,0.0
同济大学,2012,546,647,101,1,1,143.0
同济大学,2014,506,647,141,1,1,0.0
吉林大学,2011,573,629,56,1,1,0.0
吉林大学,2012,546,607,61,1,1,61.0
吉林大学,2013,501,592,91,1,1,67.0
吉林大学,2014,506,608,102,1,1,0.0
合肥工业大学,2011,573,614,41,0,1,0.0
合肥工业大学,2012,546,567,21,0,1,43.0
合肥工业大学,2012,546,567,21,0,1,99.0
合肥工业大学,2012,546,592,46,0,1,43.0
合肥工业大学,2012,546,592,46,0,1,99.0
合肥工业大学,2013,501,569,68,0,1,84.0
合肥工业大学,2014,506,577,71,0,1,0.0
合肥工业大学,2015,525,594,69,0,1,0.0
厦门理工学院,2014,506,531,25,0,0,0.0
厦门大学,2011,573,648,75,1,1,0.0
厦门大学,2012,546,629,83,1,1,1128.0
厦门大学,2013,501,609,108,1,1,1057.0
厦门大学,2014,506,625,119,1,1,0.0
南昌航空大学,2011,573,593,20,0,0,0.0
南昌航空大学,2012,546,578,32,0,0,18.0
南昌航空大学,2015,525,568,43,0,0,0.0
南昌大学,2011,573,608,35,0,1,0.0
南昌大学,2012,546,583,37,0,1,0.0
南昌大学,2013,501,563,62,0,1,107.0
南昌大学,2014,506,577,71,0,1,0.0
南昌大学,2015,525,593,68,0,1,0.0
南方医科大学,2011,573,638,65,0,0,0.0
南方医科大学,2013,501,586,85,0,0,37.0
南方医科大学,2014,506,620,114,0,0,0.0
南方医科大学,2015,525,601,76,0,0,0.0
南开大学,2011,573,661,88,1,1,0.0
南开大学,2012,546,641,95,1,1,40.0
南开大学,2014,506,640,134,1,1,0.0
南华大学,2012,546,557,11,0,0,41.0
南华大学,2013,501,537,36,0,0,37.0
南华大学,2014,506,560,54,0,0,0.0
南华大学,2015,525,569,44,0,0,0.0
南京邮电大学,2011,573,627,54,0,0,0.0
