,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
1676,南京理工大学,2015,计算机类,618,211.0,5327.0,525.0,618.0,93.0
1685,南京理工大学,2013,机械设计制造及其自动化,590,162.0,5480.0,501.0,587.0,86.0
1687,南京理工大学,2013,智能电网信息工程,590,162.0,5480.0,501.0,587.0,86.0
1688,南京理工大学,2013,微电子科学与工程,586,186.0,6207.0,501.0,587.0,86.0
1719,南京农业大学,2015,网络工程,591,289.0,12065.0,525.0,591.0,66.0
1721,南京农业大学,2013,电子信息科学与技术,563,268.0,11797.0,501.0,560.0,59.0
1722,南京农业大学,2013,机械设计制造及其自动化,562,315.0,12112.0,501.0,560.0,59.0
1725,南京农业大学,2013,农业电气化,559,308.0,13033.0,501.0,560.0,59.0
1726,南京农业大学,2013,农业机械化及其自动化,556,339.0,14006.0,501.0,560.0,59.0
1727,南京农业大学,2015,信息与计算科学,590,281.0,12346.0,525.0,591.0,66.0
1777,华北电力大学保定校区,2013,自动化,580,211.0,7459.0,,,
1781,华北电力大学保定校区,2013,机械电子工程,553,320.0,14940.0,,,
1814,华侨大学,2013,自动化,553,320.0,14940.0,501.0,538.0,37.0
1816,华侨大学,2013,电子科学与技术,554,298.0,14620.0,501.0,538.0,37.0
1823,华侨大学,2013,信息管理与信息系统,556,339.0,14006.0,501.0,538.0,37.0
1857,华中师范大学,2013,软件工程,571,268.0,9632.0,,,
1858,华中师范大学,2014,计算机类（含计算机科学...,592,231.0,8042.0,506.0,599.0,93.0
1859,华中师范大学,2013,计算机科学与技术,560,293.0,12725.0,,,
1861,华中师范大学,2014,电子商务类（含信息管理...,594,212.0,7581.0,506.0,599.0,93.0
1862,华中师范大学,2014,电子信息类（含通信工程...,589,253.0,8745.0,506.0,599.0,93.0
1863,华中师范大学,2013,电子信息类,563,268.0,11797.0,,,
1864,华中师范大学,2015,电子信息类,610,218.0,7010.0,525.0,611.0,86.0
1865,华中师范大学,2013,信息管理与信息系统,571,268.0,9632.0,,,
1923,北京邮电大学,2015,计算机类,598,271.0,10068.0,,,
1933,北京邮电大学,2013,电子商务,590,162.0,5480.0,,,
1936,北京邮电大学,2015,电子信息类,600,288.0,9518.0,,,
1975,北京科技大学,2013,通信工程,592,191.0,5135.0,501.0,590.0,89.0
1983,北京科技大学,2015,信息与计算科学,617,182.0,5509.0,525.0,619.0,94.0
2003,北京林业大学,2015,计算机类,595,297.0,10944.0,525.0,593.0,68.0
2007,北京林业大学,2013,电气工程及其自动化,569,260.0,10155.0,,,
2008,北京林业大学,2015,机械设计制造及其自动化,590,281.0,12346.0,525.0,593.0,68.0
2009,北京林业大学,2015,信息管理与信息系统,600,288.0,9518.0,525.0,593.0,68.0
2010,北京建筑大学,2015,电气类,598,271.0,10068.0,525.0,592.0,67.0
2013,北京工业大学,2013,电子科学与技术,570,263.0,9895.0,501.0,561.0,60.0
2014,北京工业大学,2015,信息管理与信息系统,606,249.0,7958.0,525.0,600.0,75.0
2023,北京化工大学,2013,计算机科学与技术,561,320.0,12432.0,501.0,564.0,63.0
2024,北京化工大学,2014,计算机科学与技术,574,297.0,12649.0,506.0,579.0,73.0
2026,北京化工大学,2013,电子科学与技术,560,293.0,12725.0,501.0,564.0,63.0
2027,北京化工大学,2014,电子科学与技术,574,297.0,12649.0,506.0,579.0,73.0
2029,北京化工大学,2014,电子信息类,575,278.0,12352.0,506.0,579.0,73.0
2031,北京化工大学,2014,机械设计制造及其自动化,581,271.0,10672.0,506.0,579.0,73.0
2058,北京中医药大学,2015,信息管理与信息系统,586,321.0,13605.0,,,
2068,兰州大学,2013,电子商务,569,260.0,10155.0,,,
2071,兰州大学,2013,电子信息科学与技术,576,233.0,8382.0,,,
2072,兰州大学,2015,微电子科学与工程,607,247.0,7709.0,525.0,608.0,83.0
2083,云南大学,2015,通信工程,589,293.0,12639.0,525.0,585.0,60.0
2084,云南大学,2015,网络工程,590,281.0,12346.0,525.0,585.0,60.0
2086,云南大学,2013,信息与计算科学,554,298.0,14620.0,,,
2110,中央民族大学,2013,计算机科学与技术,573,225.0,9082.0,501.0,581.0,80.0
2112,中央民族大学,2013,电子信息工程,575,249.0,8631.0,501.0,581.0,80.0
2115,中央民族大学,2013,信息与计算科学,580,211.0,7459.0,501.0,581.0,80.0
2131,中国矿业大学,2015,计算机类（计算机科学与...,598,271.0,10068.0,525.0,598.0,73.0
2132,中国矿业大学,2014,计算机类,575,278.0,12352.0,,,
2134,中国矿业大学,2014,电气工程及其自动化,591,213.0,8255.0,,,
2140,中国石油大学（华东）,2015,软件工程,589,293.0,12639.0,,,
2150,中国海洋大学,2013,通信工程,587,168.0,6021.0,501.0,591.0,90.0
2151,中国海洋大学,2013,自动化,588,190.0,5853.0,501.0,591.0,90.0
2152,中国海洋大学,2013,电子商务,588,190.0,5853.0,501.0,591.0,90.0
2154,中国海洋大学,2013,机械设计制造及其自动化,583,203.0,6809.0,501.0,591.0,90.0
2155,中国海洋大学,2013,信息与计算科学,588,190.0,5853.0,501.0,591.0,90.0
2156,中国民航大学,2015,通信工程,585,297.0,13902.0,525.0,584.0,59.0
2161,中国民航大学,2013,电子信息科学与技术,553,320.0,14940.0,501.0,553.0,52.0
2173,中国地质大学,2013,计算机类（中外合作办学...,571,268.0,9632.0,,,
2179,中国地质大学,2013,电气工程及其自动化,572,282.0,9364.0,,,
2184,中国地质大学,2013,机械设计制造及其自动化,573,225.0,9082.0,,,
2186,中国地质大学,2013,农业机械化及其自动化,568,287.0,10442.0,,,
2193,中国地质大学,2013,信息与计算科学,559,308.0,13033.0,,,
